season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,lead_gain
2016,2,608070,José Ramírez,27.9,1.77,12.295364583,5.031840278,3.8706463676923075,51.14069999999999,1.95,22,7,0.7615687197883627,0.0004294841882854783,5.031840278
2016,3,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,3.8706463676923075,52.50082499999999,1.95,22,7,0.7615687197883627,0.0004294841882854783,5.031840278
2016,4,547180,Bryce Harper,27.3,1.78,11.668186722,4.916755187,3.7821193746153843,49.774725,1.95,21,10,0.6914815686890092,-0.0648863105315085,4.916755187
2016,5,595879,Javier Báez,28.8,1.75,10.957180952,4.696933333,3.6130256407692305,53.352,1.95,12,3,0.7946668236402166,0.01825752023888305,4.696933333
2016,6,592663,J.T. Realmuto,28.8,1.76,12.115241176,4.642758824,3.5713529415384615,53.07119999999999,1.95,12,4,0.7568255463240158,-0.019583757077317743,4.642758824
2016,7,593428,Xander Bogaerts,28.3,1.77,12.125084821,4.347678571,3.3443681315384617,51.8739,1.95,13,4,0.7678789305820151,0.0011549290305530313,4.347678571
2016,8,596115,Trevor Story,29.6,1.73,12.970051546,4.217072165,3.2439016653846156,55.411199999999994,1.95,8,5,0.6607409151557962,-0.13741491162102892,4.217072165
2016,9,553993,Eugenio Suárez,27.4,1.8,10.978256944,3.666729167,2.8205608976923076,49.422749999999986,1.95,11,5,0.7092064987049682,-0.04765612386651674,3.666729167
2016,10,543760,Marcus Semien,28.4,1.76,12.177804233,3.618862434,2.7837403338461537,52.33409999999999,1.95,10,2,0.8172550866355489,0.0488344108839468,3.618862434
2016,11,621043,Carlos Correa,28.0,1.78,10.345008299,3.599082988,2.7685253753846153,51.051,1.95,13,3,0.8044445939430634,0.04208945648251616,3.599082988
2016,12,607208,Trea Turner,30.0,1.73,11.411938596,3.574809942,2.7498538015384613,56.16,1.95,33,6,0.8384849198364622,0.026571197333875918,3.574809942
2016,13,596019,Francisco Lindor,27.1,1.74,12.0631875,3.421482143,2.6319093407692304,50.466975,1.95,19,5,0.7894253956139425,0.03368642384060605,3.421482143
2016,14,596019,Francisco Lindor,27.1,1.78,12.0631875,3.421482143,2.6319093407692304,49.410075,1.95,19,5,0.7894253956139425,0.03368642384060605,3.421482143
2016,15,606466,Ketel Marte,28.4,1.78,9.871389474,3.392936842,2.609951416923077,51.78029999999999,1.95,11,5,0.7092064987049682,-0.0592141770466339,3.392936842
2017,1,605141,Mookie Betts,27.9,1.75,12.429531646,5.642240506,4.3401850046153845,51.684749999999994,1.95,26,3,0.8792157786118922,0.11807654301181492,5.642240506
2017,2,624428,Adam Frazier,27.5,1.76,12.576537879,5.210234848,4.007872959999999,50.675625,1.95,9,5,0.678596656463386,-0.07888090254398217,5.210234848
2017,3,608070,José Ramírez,27.9,1.76,12.295364583,5.031840278,3.8706463676923075,51.412724999999995,1.95,17,5,0.7738272767705309,0.012688041170453634,5.031840278
2017,4,608070,José Ramírez,27.9,1.72,12.295364583,5.031840278,3.8706463676923075,52.50082499999999,1.95,17,5,0.7738272767705309,0.012688041170453634,5.031840278
