season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,jump_time
2019,10,669242,Tommy Edman,29.4,1.7,,,,55.323449999999994,1.93,15,1,0.8996826891811587,0.1076846517577108,1.7
2019,11,641796,Tim Locastro,30.7,1.7,,,,58.36837499999999,1.95,17,0,0.9496971124001969,0.10907963860821357,1.7
2019,12,571740,Billy Hamilton,29.5,1.7,,,,56.086875,1.95,22,6,0.7846465597819494,-0.010370275775728244,1.7
2019,13,542932,Jon Berti,29.8,1.7,,,,57.819449999999996,1.99,17,3,0.8357334589121733,0.030939070442302596,1.7
2019,14,641355,Cody Bellinger,28.8,1.71,10.205975831,2.989776435,2.299828026923077,55.592639999999996,1.99,15,5,0.7557334589121733,-0.020675844489160267,1.71
2019,15,621439,Byron Buxton,30.3,1.71,13.112712821,2.669117949,2.053167653076923,58.782,2.0,14,3,0.8133334760365606,-0.010160695651977636,1.71
2020,1,596451,Roman Quinn,30.5,1.67,,,,58.880250000000004,1.95,12,0,0.9349021454590783,0.10308670888865257,1.67
2020,2,663757,Trent Grisham,29.1,1.74,10.18492145,4.198489426,3.229607250769231,54.191475000000004,1.95,10,1,0.8683335295502708,0.08467072802000852,1.74
2020,3,609275,Adalberto Mondesi,29.4,1.75,,,,54.463499999999996,1.95,24,8,0.7538739587244414,-0.03812407869900647,1.75
2020,4,607208,Trea Turner,29.9,1.76,11.411938596,3.574809942,2.7498538015384613,55.09822499999999,1.95,12,4,0.7568255463240158,-0.05146841261975388,1.76
2020,5,542932,Jon Berti,29.2,1.76,,,,53.808299999999996,1.95,9,2,0.8058335295502708,0.019512509140530154,1.76
2020,6,673357,Luis Robert Jr.,29.1,1.77,10.790703125,3.90459375,3.0035336538461537,53.3403,1.95,9,2,0.8058335295502708,0.022170728020008523,1.77
2020,7,608070,José Ramírez,27.2,1.78,12.295364583,5.031840278,3.8706463676923075,49.5924,1.95,10,3,0.7718520262669073,0.015858697312438164,1.78
2020,8,542340,Jonathan Villar,27.0,1.78,,,,49.22774999999999,1.95,16,5,0.7651283258770897,0.009523518199967218,1.78
