season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,avg_pre_release_velocity
2018,4,547180,Bryce Harper,27.5,1.78,11.668186722,4.916755187,3.7821193746153843,52.4535,2.04,13,3,0.8044426941757675,0.04697768629698207,3.7821193746153843
2018,5,595879,Javier Báez,28.8,1.76,10.957180952,4.696933333,3.6130256407692305,54.568079999999995,2.005,21,9,0.7112370450768891,-0.06522703053484002,3.6130256407692305
2018,6,606192,Teoscar Hernández,28.6,1.79,12.779433198,4.224502024,3.6118743334221004,52.265069999999994,1.9649999999999999,5,5,0.5928864385127411,-0.17933888377133178,3.6118743334221004
2018,7,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.5638702308319283,58.8596,2.05,27,6,0.8129814888866084,0.014777600581416306,3.5638702308319283
2018,8,643396,Isiah Kiner-Falefa,28.0,1.77,12.344880734,4.535688073,3.4889908253846156,52.508399999999995,1.9949999999999999,7,5,0.6407821516288893,-0.12159779030191797,3.4889908253846156
2018,9,664023,Ian Happ,27.6,1.78,10.538212454,4.404992674,3.388455903076923,50.3217,1.95,8,4,0.699605681040654,-0.05860307367939399,3.388455903076923
2018,10,664023,Ian Happ,27.6,1.8,10.538212454,4.404992674,3.388455903076923,49.7835,1.95,8,4,0.699605681040654,-0.05860307367939399,3.388455903076923
2018,11,593428,Xander Bogaerts,27.8,1.79,12.125084821,4.347678571,3.3443681315384617,50.415299999999995,1.95,8,2,0.7928864385127412,0.03283133015645512,3.3443681315384617
2018,12,518692,Freddie Freeman,26.7,1.8,12.235060811,4.331902027,3.3322323284615383,50.38289999999999,2.04,10,3,0.7718498098717288,0.016028457278487007,3.3322323284615383
2018,13,641343,Jake Bauers,27.8,1.78,11.678393258,4.22547191,3.250363007692308,50.42642,1.94,6,6,0.5819586222171246,-0.17809648613916151,3.250363007692308
2018,14,660162,Yoán Moncada,28.8,1.74,12.317113333,4.00746,3.0961264846615335,55.67664,2.0033333333333334,12,6,0.6910128946822225,-0.08545118092950665,3.0961264846615335
