runner_id,season,player_name,sprint_speed,bolts,jump_time,accel_phase,top_speed_phase,total_90,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090,SB,CS,Name,primary_lead,secondary_lead,lead_gain,sb_attempts,era,speed_capped,real_sb_pct,expected_sb_pct,sb_residual,pct_speed,pct_jump,accel_gap,dist_to_top_speed_ft,expected_dist_to_top,accel_topspeed_gap,accel_topspeed_premium,n_attempts,n_success,two_strike_share,avg_pop_faced,avg_pickoff_rate_faced,weak_arm_share,avg_pre_release_velocity,avg_post_release_distance,y,z_sb_residual,z_accel_gap,z_lead_gain,z_primary_lead,z_jump,z_speed_cap,z_pre_rel_vel,z_post_rel_dist,z_accel_top,SSSI_v7,rank_v7
677594,2025,Julio Rodríguez,29.2,56.0,1.77,1.22,2.07,3.84,0.55,0.86,1.12,1.35,1.56,1.77,1.96,2.15,2.33,2.5,2.68,2.85,3.01,3.18,3.34,3.51,3.67,3.84,30,6,Julio Rodríguez,12.954716814,16.602384956,3.647668142,36,post_2023,28.0,0.826557746499929,0.7856971146381122,0.040860631861816765,92.10526315789474,69.88304093567251,-22.22222222222223,65.0,66.8586116337311,-1.8586116337311012,3.1766009179903456,1.0,1.0,1.0,1.93,0.002551020408163265,0.0,2.8058985707692305,52.974639999999994,1,0.36160922044608823,-1.0984628150652922,-0.10429761974043392,1.3853189668812471,-0.03999578468272174,0.5261004740287265,-0.10429761970088387,0.2640489891583503,0.23002506593151098,-0.11254129356023307,352
666152,2025,David Hamilton,29.3,19.0,1.71,1.18,2.08,3.79,0.53,0.82,1.07,1.3,1.51,1.71,1.9,2.08,2.26,2.43,2.6,2.77,2.94,3.11,3.27,3.44,3.61,3.79,22,6,David Hamilton,12.102747967,16.359089431,4.256341463,28,post_2023,28.0,0.7845111395908209,0.7885136677280089,-0.004002528137188044,93.56725146198829,96.58869395711501,3.0214424951267205,75.0,67.02034048407435,7.979659515925647,-13.918644628552432,0.0,0.0,0.55,1.95,0.02,0.2,3.2741088176923077,55.42095,1,-0.1757984252515745,0.23355816493216708,0.6650650198101765,0.35394617144158885,1.3643779418288529,0.5261004740287265,0.6650650195579842,1.1029226752356869,-1.2137908026184963,-0.11278151692457876,353
660271,2025,Shohei Ohtani,28.0,1.0,1.72,1.19,2.17,3.89,0.53,0.82,1.08,1.3,1.52,1.72,1.92,2.11,2.29,2.47,2.65,2.82,2.99,3.17,3.34,3.52,3.7,3.89,20,6,Shohei Ohtani,11.510135065,14.947436364,3.437301299,26,post_2023,28.0,0.770608632467648,0.7613896674892029,0.009218964978445099,64.42495126705653,94.63937621832359,30.214424951267063,60.0,64.8190659418294,-4.819065941829393,6.204298784767391,1.0,1.0,1.0,1.95,0.02,0.0,2.6440779223076922,52.689,0,-0.01742056047259149,1.6684379078637916,-0.37020115784607227,-0.3634566156457073,1.130315654076924,0.5261004740287265,-0.3702011577056911,0.16609906470432578,0.48573582558841183,-0.11283319153727647,354
670042,2023,Luke Raley,28.8,5.0,1.73,1.2,2.12,3.85,0.53,0.83,1.08,1.31,1.52,1.73,1.92,2.11,2.29,2.47,2.64,2.81,2.98,3.15,3.32,3.49,3.66,3.85,14,3,Luke Raley,11.763251656,15.402211921,3.638960265,17,post_2023,28.0,0.8131303457498675,0.7756477215002997,0.03748262424956783,86.41618497109826,92.77456647398844,6.3583815028901824,55.0,66.1990296313603,-11.199029631360304,17.5664239036943,1.0,1.0,1.0,1.98,0.02,0.0,2.7992002038461536,54.74304,1,0.32114468076391356,0.4096369085330538,-0.11530436999949781,-0.057039817718087076,0.8962533663249947,0.5261004740287265,-0.11530436995577399,0.8704579178955771,1.445348631528769,-0.11385103809145314,355
547180,2015,Bryce Harper,27.7,1.0,1.8,1.2200000000000002,2.2199999999999998,4.02,0.58,0.88,1.13,1.37,1.59,1.8,2.0,2.2,2.39,2.57,2.75,2.93,3.11,3.28,3.46,3.64,3.82,4.02,6,4,Bryce Harper,11.668186722,16.584941909,4.916755187,10,pre_2023,27.7,0.6592578404331392,0.7580506489509737,-0.09879280851783456,66.23655913978494,43.87096774193549,-22.365591397849457,70.0,64.28067966660899,5.7193203333910105,-6.760402988695374,0.0,0.0,0.55,1.95,0.02,0.2,3.7821193746153843,49.963874999999994,0,-1.3112739783671956,-1.106027911177869,1.499827491504066,-0.1721231180912363,-0.7421826479385091,-0.0166674651966177,1.4998274909353313,-0.768384158505939,-0.6092260514189348,-0.11504333516598624,356
592626,2015,Joc Pederson,27.2,0.0,1.76,1.22,2.17,3.93,0.54,0.84,1.09,1.32,1.55,1.76,1.96,2.15,2.34,2.52,2.7,2.88,3.05,3.22,3.4,3.57,3.75,3.93,4,7,Joc Pederson,10.410209945,13.692618785,3.28240884,11,pre_2023,27.2,0.493054225406068,0.7549192564974767,-0.2618650310914087,52.473118279569896,68.9247311827957,16.4516129032258,65.0,63.35803600591277,1.6419639940872273,-1.6523579771007717,0.0,0.0,0.55,1.95,0.02,0.2,2.524929876923077,50.1228,0,-3.264686515823178,0.9422218613024667,-0.5659851145125823,-1.6949992533646,0.1940665030692074,-0.9212806972388559,-0.5659851142979594,-0.713886568028917,-0.17781508250778766,-0.1160225677393969,357
686668,2025,Brenton Doyle,29.5,42.0,1.77,1.21,2.09,3.86,0.56,0.87,1.13,1.36,1.57,1.77,1.96,2.15,2.33,2.51,2.68,2.85,3.02,3.19,3.35,3.52,3.68,3.86,18,2,Brenton Doyle,12.924391753,15.935917526,3.011525773,20,post_2023,28.0,0.8755547042598835,0.7945118196743364,0.08104288458554709,95.80896686159845,69.88304093567251,-25.925925925925938,75.0,67.33999820446152,7.660001795538477,-13.899418173917782,2.0,2.0,1.0,1.885,0.0027100271002710027,0.0,2.3165582869230765,52.27105,1,0.8429451280274407,-1.2938944646402093,-0.90838111618765,1.3486081845027835,-0.03999578468272174,0.5261004740287265,-0.908381115843191,0.022778203040832518,-1.2121669908854686,-0.11621899922212764,358
664983,2024,Jake McCarthy,29.8,66.0,1.72,1.19,2.08,3.8,0.53,0.83,1.08,1.31,1.52,1.72,1.91,2.1,2.28,2.45,2.63,2.79,2.96,3.13,3.29,3.45,3.62,3.8,25,6,Jake McCarthy,12.197339806,16.489699029,4.292359223,31,post_2023,28.0,0.8024685446249191,0.8044216620101601,-0.0019531173852409545,97.98387096774194,95.26209677419355,-2.7217741935483843,60.0,67.80998483429397,-7.809984834293971,14.994892469946866,0.0,0.0,0.55,1.95,0.02,0.2,3.3018147869230767,56.07615,1,-0.15124890606264993,-0.06949153912800382,0.710591442520431,0.4684567544972247,1.130315654076924,0.5261004740287265,0.7105914422509748,1.3275998580611956,1.2281643927641759,-0.11747719992040033,359
686217,2024,Sal Frelick,29.3,68.0,1.68,1.16,2.0700000000000003,3.75,0.52,0.81,1.06,1.28,1.49,1.68,1.87,2.05,2.23,2.4,2.58,2.74,2.91,3.07,3.23,3.4,3.57,3.75,18,3,Sal Frelick,12.259344203,15.093481884,2.834137681,21,post_2023,28.0,0.841879523326811,0.7885136677280089,0.05336585559880214,93.75,99.39516129032258,5.6451612903225765,60.0,67.02034048407435,-7.020340484074353,12.245337557856416,1.0,1.0,1.0,2.07,0.0,1.0,2.1801059084615386,59.741234999999996,1,0.5114070244252309,0.37200274181694365,-1.1325995367712036,0.5435177716795108,2.0665648050846404,0.5261004740287265,-1.1325995363417203,2.584408424324976,0.9959447968117418,-0.1175433909298323,360
543760,2016,Marcus Semien,28.4,2.0,1.76,1.21,2.1500000000000004,3.91,0.55,0.84,1.09,1.33,1.55,1.76,1.96,2.15,2.33,2.52,2.69,2.87,3.04,3.21,3.39,3.56,3.73,3.91,10,2,Marcus Semien,12.177804233,15.796666667,3.618862434,12,pre_2023,28.0,0.8169922121468876,0.7675452391173305,0.04944697302955703,81.88259109311741,71.96356275303644,-9.91902834008097,55.0,65.51918106739305,-10.519181067393049,15.021469544585099,0.0,0.0,0.55,1.95,0.02,0.2,2.7837403338461537,52.33409999999999,1,0.4644634418655017,-0.44926577670003237,-0.14070801391475696,0.444807464260294,0.1940665030692074,0.5261004740287265,-0.14070801386139972,0.04439892400717262,1.2304090169784256,-0.11864211433979253,361
