season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,accel_0_30
2022,4,669352,Bubba Thompson,30.3,1.71,,,,57.753315,1.9649999999999999,18,3,0.8420637077880895,0.018555514631266146,1.71
2022,5,682928,CJ Abrams,29.0,1.71,11.387557632,3.204844237,,,,7,4,0.6808535251556453,-0.10034993765981493,1.71
2022,6,671739,Michael Harris II,29.4,1.71,11.572564706,3.727862745,2.8675867269230766,55.32491999999999,1.94,20,2,0.8849502371292713,0.09288791763348991,1.71
2022,7,680757,Steven Kwan,28.4,1.72,10.742378205,4.1405,3.185,54.53794,1.99,19,5,0.7894364276720802,0.020924610835911572,1.72
2022,8,656775,Cedric Mullins,28.5,1.72,12.201346821,3.753213873,2.8870875946153847,53.2173375,1.935,34,10,0.7733399265814351,0.0030125553354838353,1.72
2022,9,664728,Kyle Isbel,28.0,1.72,12.64,4.155311475,3.1963934423076927,53.2294,1.97,9,6,0.6446828201245163,-0.11776565875291745,1.72
2022,10,668731,Akil Baddoo,28.9,1.72,,,,53.82480499999999,1.93,9,6,0.6446828201245163,-0.13410564844096218,1.72
2022,11,623205,Andrew Velazquez,29.1,1.72,,,,56.6031375,1.995,17,1,0.9084198435865359,0.12468149855305544,1.72
2022,12,669016,Brandon Marsh,28.8,1.73,12.399738351,4.109007168,3.1607747446153844,53.637119999999996,1.94,10,4,0.7312450738152803,-0.04524828846825746,1.73
2022,13,665862,Jazz Chisholm Jr.,29.3,1.73,12.165130769,5.637923077,4.336863905384615,55.5528,1.975,12,5,0.7224389273859239,-0.06672884598771767,1.73
2022,14,642180,Tyler Wade,29.1,1.73,,,,53.91648,1.93,8,5,0.6607586890272403,-0.12297965600624017,1.73
2022,15,664983,Jake McCarthy,30.1,1.73,12.197339806,4.292359223,3.3018147869230767,56.05824,1.94,23,3,0.8675373033061395,0.05185629785027035,1.73
2023,1,682829,Elly De La Cruz,30.5,1.66,13.043354086,4.053797665,,,,35,8,0.810284508385215,-0.021530424344719634,1.66
2023,2,682998,Corbin Carroll,30.1,1.66,9.737318777,3.851152838,2.96242526,57.802535,1.93,54,5,0.9045883812889113,0.08890737583304209,1.66
2023,3,608671,Travis Jankowski,29.0,1.68,,,,56.84435,1.99,19,1,0.915746256099613,0.13454279328415275,1.68
2023,4,668930,Brice Turang,29.4,1.7,11.467410188,3.324536193,2.557335533076923,58.4766,2.04,26,4,0.8541044686425807,0.062042149146799286,1.7
2023,5,680118,Dairon Blanco,30.3,1.7,,,,56.42617499999999,1.91,24,5,0.8204016588967743,-0.003106534260049032,1.7
2023,6,668731,Akil Baddoo,29.0,1.71,,,,,,14,3,0.8133480182950148,0.032144555479554526,1.71
2023,7,682928,CJ Abrams,28.6,1.71,11.387557632,3.204844237,2.4652647976923077,55.483999999999995,2.0,47,4,0.9088152929016129,0.13655247927783876,1.71
