clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,qa_video,pitcher_track_id,status
holliday_5ebe7bb3_verlander_R.mp4,Justin Verlander,434378,Patrick Bailey,672275,5ebe7bb3-73f0-3f06-9f7f-b8be00d4f5e7,776507,2,3,R,59.673,536,272,272,2,0,[0:272],87,121.06,184.73,1.067,leg_lift,121.06,105.0,extension_collapse,0.354,True,True,True,True,1.0,holliday_5ebe7bb3_verlander_R_annotated.mp4,1614,ok
holliday_6a4935ba_bassitt_R.mp4,Chris Bassitt,605135,Tyler Heineman,623168,6a4935ba-0708-3129-881c-d50b582acbce,778525,15,4,R,59.743,586,112,112,4,0,[0:112],7,11.65,101.41,1.5025,motion_onset,,,extension_collapse,0.959,True,True,True,True,1.0,holliday_6a4935ba_bassitt_R_annotated.mp4,1689,ok
holliday_6ce80996_newcomb_L.mp4,Sean Newcomb,656794,Connor Wong,657136,6ce80996-6c06-3cb0-a296-10963d297879,778512,21,3,L,59.699,707,495,495,3,0,[0:495],5,292.55,390.5,1.6408,leg_lift,292.55,294.0,extension_collapse,0.342,True,True,True,True,1.0,holliday_6ce80996_newcomb_L_annotated.mp4,1903,ok
holliday_841d1908_borucki_L.mp4,Ryan Borucki,621366,Alejandro Kirk,672386,841d1908-6108-32f4-99e2-4607a4995eac,776353,42,4,L,59.703,640,607,607,2,0,[0:607],126,136.37,207.5,1.1914,leg_lift,136.37,173.0,extension_collapse,0.924,True,True,True,True,1.0,holliday_841d1908_borucki_L_annotated.mp4,1914,ok
holliday_854e25e9_henry_R.mp4,Cole Henry,669371,Keibert Ruiz,660688,854e25e9-6e4e-3f5e-b1a7-db4365288321,778193,55,6,R,59.663,526,526,-1,1,0,[0:526],94,131.86,200.5,1.1504,leg_lift,131.86,145.0,extension_collapse,0.93,True,True,True,True,1.0,holliday_854e25e9_henry_R_annotated.mp4,1937,ok
holliday_989d4b7a_dobbins_R.mp4,Hunter Dobbins,690928,Carlos Narváez,665966,989d4b7a-c05c-3276-b2d6-26adb0bba3d1,777809,21,7,R,59.694,634,439,439,2,0,[0:439],128,136.85,189.5,0.882,leg_lift,136.85,167.0,extension_collapse,0.482,True,True,True,True,1.0,holliday_989d4b7a_dobbins_R_annotated.mp4,2216,ok
holliday_a1e1c884_casparius_R.mp4,Ben Casparius,676508,Dalton Rushing,687221,a1e1c884-47c3-3c5d-8461-1742b6a95dd6,776454,42,1,R,59.749,780,61,647,3,2,[719:780],741,737.28,776.87,0.6627,leg_lift,737.28,,extension_collapse,0.951,True,False,True,False,0.75,holliday_a1e1c884_casparius_R_annotated.mp4,2561,ok
holliday_a427582d_richardson_R.mp4,Simeon Woods Richardson,680573,Ryan Jeffers,680777,a427582d-735a-38d0-8acd-93cc490ddc97,778011,10,1,R,59.685,616,249,249,3,0,[0:249],31,119.79,182.84,1.0563,leg_lift,119.79,95.0,extension_collapse,0.746,True,True,True,True,1.0,holliday_a427582d_richardson_R_annotated.mp4,2568,ok
holliday_a65eb744_lauer_L.mp4,Eric Lauer,641778,Tyler Heineman,623168,a65eb744-1861-3eb2-af72-149ee4cfc2e2,776962,42,4,L,59.727,722,473,473,3,0,[0:473],60,109.09,186.62,1.2981,leg_lift,109.09,90.0,extension_collapse,0.38,True,True,True,True,1.0,holliday_a65eb744_lauer_L_annotated.mp4,2819,ok
holliday_b3444865_ray_L.mp4,Robbie Ray,592662,Patrick Bailey,672275,b3444865-c780-3843-b02a-1a7dfc2e90aa,776533,3,5,L,59.826,1062,427,143,5,2,[254:681],510,515.56,588.84,1.2248,leg_lift,515.56,624.0,extension_collapse,0.941,True,True,True,True,1.0,holliday_b3444865_ray_L_annotated.mp4,3052,ok
