season,rank,runner_id,player_name,sprint_speed,jump_time,primary_lead,lead_gain,avg_pre_release_velocity,avg_post_release_distance,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,avg_post_release_distance
2016,14,595281,Kevin Kiermaier,29.4,1.72,,,,55.323449999999994,1.95,21,3,0.8582368140171409,0.06678491127705699,55.323449999999994
2016,15,488721,Peter Bourjos,29.5,1.73,,,,55.224,1.95,6,4,0.6592578404331392,-0.1352539792411972,55.224
2017,1,621439,Byron Buxton,30.5,1.69,13.112712821,2.669117949,2.053167653076923,58.2855,1.95,29,1,0.9396819316142024,0.10787843687757137,58.2855
2017,2,605548,Bradley Zimmer,30.0,1.66,,,,58.2075,1.95,18,1,0.9120361502707119,0.10039951709244921,58.2075
2017,3,605480,Mallex Smith,30.0,1.67,,,,57.915,1.95,16,5,0.7649564464037341,-0.046680186774528676,57.915
2017,4,571740,Billy Hamilton,30.1,1.68,,,,57.814575,1.95,59,13,0.816738540344118,0.001311898698536429,57.814575
2017,5,607208,Trea Turner,30.3,1.71,11.411938596,3.574809942,2.7498538015384613,57.31245,1.95,46,8,0.8455740272287642,0.022202322882012737,57.31245
2017,6,592261,Delino DeShields,30.0,1.7,,,,57.0375,1.95,29,8,0.7830682763451687,-0.028568356833094,57.0375
2017,7,572669,Lane Adams,29.9,1.7,,,,56.84737499999999,1.95,10,0,0.9259245070998059,0.11795620046668365,56.84737499999999
2017,8,543829,Dee Strange-Gordon,29.4,1.68,,,,56.47005,1.95,60,16,0.7887514519320628,-0.002700450808021171,56.47005
2017,9,642708,Amed Rosario,30.1,1.73,11.78327451,3.357009804,2.582315233846154,56.3472,1.95,7,3,0.7259245070998059,-0.0895021345457756,56.3472
2017,10,542979,Keon Broxton,29.9,1.73,,,,55.97279999999999,1.95,21,7,0.7542081092877905,-0.05376019734533177,55.97279999999999
2017,11,545361,Mike Trout,29.3,1.7,11.370782123,2.511715084,1.932088526153846,55.706624999999995,1.95,22,4,0.835124761499906,0.046611093771897094,55.706624999999995
2017,12,434658,Rajai Davis,29.6,1.73,,,,55.411199999999994,1.95,29,7,0.8021675025974899,0.004474084066723671,55.411199999999994
2017,13,622534,Manuel Margot,29.4,1.72,,,,55.323449999999994,1.95,17,7,0.7203057795343824,-0.07114612320570157,55.323449999999994
2017,14,514917,César Hernández,29.4,1.725,,,,55.180125,1.95,15,5,0.7555547042598835,-0.035897198480200454,55.180125
2017,15,458913,Eric Young Jr.,28.9,1.7,,,,54.946124999999995,1.95,12,3,0.7944433803248544,0.016465833423367715,54.946124999999995
2018,1,609275,Adalberto Mondesi,29.9,1.685,,,,59.92856999999999,2.04,32,7,0.8156560819658428,0.007687775332720581,59.92856999999999
2018,2,571740,Billy Hamilton,30.1,1.69,,,,59.438469999999995,2.015,34,10,0.773242196050961,-0.042184445594620534,59.438469999999995
2018,3,608671,Travis Jankowski,29.0,1.66,,,,59.15275,2.05,24,7,0.7746907668471413,-0.005738287377709761,59.15275
2018,4,543829,Dee Strange-Gordon,29.0,1.69,,,,59.1136,2.08,30,12,0.7210397363084486,-0.05938931791640245,59.1136
2018,5,641553,Adam Engel,30.1,1.69,,,,59.069745,2.0025,16,8,0.6858230209136926,-0.1296036207318889,59.069745
2018,6,596115,Trevor Story,29.6,1.71,12.970051546,4.217072165,3.2439016653846156,58.8596,2.05,27,6,0.8128649370130813,0.015171518482315016,58.8596
2018,7,596451,Roman Quinn,30.1,1.66,,,,58.401525,1.95,10,4,0.7309930319208994,-0.08443360972468217,58.401525
2018,8,545361,Mike Trout,29.2,1.68,11.370782123,2.511715084,1.932088526153846,58.38686,2.03,24,2,0.8996408905321641,0.11394377589405191,58.38686
2018,9,660670,Ronald Acuña Jr.,29.6,1.68,12.019437956,3.908908759,3.0068528915384616,58.16622,1.995,16,5,0.7649564464037341,-0.03273697212703219,58.16622
2018,10,664056,Harrison Bader,30.0,1.73,11.804284211,2.279368421,1.7533603238461537,57.888,2.01,15,3,0.8212551133259602,0.009618480147697506,57.888
2018,11,607208,Trea Turner,30.1,1.73,11.411938596,3.574809942,2.7498538015384613,57.792,2.0,43,9,0.8226117123946858,0.007185070749104239,57.792
2018,12,593700,Alen Hanson,28.4,1.73,,,,57.2544,2.1,7,3,0.7259245070998059,-0.041620732017524587,57.2544
2018,13,605480,Mallex Smith,29.8,1.67,,,,57.23388,1.94,40,12,0.7699801334473173,-0.03444152856284277,57.23388
2018,14,656185,Greg Allen,28.9,1.72,,,,57.0319825,2.045,21,4,0.8296289202165695,0.05165137331508285,57.0319825
2018,15,592261,Delino DeShields,29.9,1.7,,,,56.84737499999999,1.95,20,4,0.8237540553964513,0.015785748763329055,56.84737499999999
2019,1,607208,Trea Turner,30.3,1.72,11.411938596,3.574809942,2.7498538015384613,60.16027125,2.0575,35,5,0.8641970579221575,0.040825353575406065,60.16027125
2019,2,641658,Garrett Hampson,30.1,1.71,,,,59.269909999999996,2.0300000000000002,15,3,0.8212551133259602,0.0058284716803786996,59.269909999999996
2019,3,621439,Byron Buxton,30.3,1.71,13.112712821,2.669117949,2.053167653076923,58.782,2.0,14,3,0.8131303457498675,-0.01024135859688391,58.782
2019,4,605480,Mallex Smith,29.4,1.68,,,,58.42478249999999,2.0175,46,9,0.8314811267749515,0.04002922403486753,58.42478249999999
2019,5,641796,Tim Locastro,30.7,1.7,,,,58.36837499999999,1.95,17,0,0.9494939821135039,0.1087719692982817,58.36837499999999
