clip_id,pitcher_name,pitcher_id,catcher_name,catcher_id,play_id,game_pk,at_bat_number,pitch_number,p_throws,fps,n_frames,analysis_frames,scene_cut_at,n_segments,segment_index,chosen_segment,set_frame,first_move_frame,release_frame,delivery_s,first_move_cue,leg_lift_frame,hand_break_frame,release_method,release_kpt_conf,good_track,in_band,release_pre_cut,usable,confidence,pitcher_track_id,status
8dbff547_morton_R.mp4,Charlie Morton,450203.0,Travis d'Arnaud,518595.0,8dbff547-789e-47c5-a994-d9659ee250d7,746817.0,14.0,4.0,R,59.653,508,508,-1,1,0,[0:508],88,111.55,175.5,1.0721,leg_lift,111.55,145.0,extension_collapse,0.937,True,True,True,True,1.0,2971,ok
96786d3f_flaherty_R.mp4,Jack Flaherty,656427.0,Carson Kelly,608348.0,96786d3f-eeb8-4528-af09-bf073a2dfa8b,746460.0,23.0,3.0,R,59.721,498,466,466,2,0,[0:466],95,117.13,177.5,1.0108,leg_lift,117.13,129.0,extension_collapse,0.94,True,True,True,True,1.0,3165,ok
9ddf4f0e_keller_R.mp4,Mitch Keller,656605.0,Yasmani Grandal,518735.0,9ddf4f0e-608e-4eeb-91ab-961a5b028fe3,745448.0,47.0,6.0,R,59.73,538,138,400,2,1,[400:538],408,404.52,409.68,0.0864,leg_lift,404.52,,extension_collapse,0.995,True,False,True,False,0.75,3448,ok
a32b0537_brown_R.mp4,Hunter Brown,686613.0,Yainer Diaz,673237.0,a32b0537-192f-4bd6-9218-83d76b1aa713,746400.0,2.0,3.0,R,59.654,568,113,113,3,0,[0:113],37,35.61,110.0,1.247,leg_lift,35.61,,extension_collapse,0.016,True,True,True,False,0.6,3451,ok
a3cf2cda_littell_R.mp4,Zack Littell,641793.0,Ben Rortvedt,666163.0,a3cf2cda-2780-475b-a4c5-7083c298ac93,745085.0,31.0,4.0,R,59.795,706,307,141,4,2,[265:572],361,357.35,413.63,0.9411,leg_lift,357.35,364.0,extension_collapse,0.886,True,True,True,True,1.0,3621,ok
a7e30a0f_houck_R.mp4,Tanner Houck,656557.0,Connor Wong,657136.0,a7e30a0f-6bec-4095-81f9-a8833aef1a76,746955.0,3.0,7.0,R,59.774,890,230,40,5,1,[40:270],91,107.51,181.5,1.2378,leg_lift,107.51,125.0,extension_collapse,0.936,True,True,True,True,1.0,3635,ok
a93076b6_urena_R.mp4,José Ureña,570632.0,Andrew Knizner,668800.0,a93076b6-0083-40df-a1ba-055ca731983d,744994.0,35.0,9.0,R,59.665,478,409,69,2,1,[69:478],84,118.21,180.5,1.044,leg_lift,118.21,110.0,extension_collapse,0.935,True,True,True,True,1.0,3785,ok
b39330a9_keller_R.mp4,Mitch Keller,656605.0,Yasmani Grandal,518735.0,b39330a9-e2a3-48a6-bafe-cfa02ac466e4,745458.0,3.0,10.0,R,59.755,634,587,587,2,0,[0:587],5,322.25,412.87,1.5167,leg_lift,322.25,329.0,extension_collapse,0.898,True,True,True,True,1.0,3870,ok
b3cf833b_eflin_R.mp4,Zach Eflin,621107.0,Alex Jackson,656577.0,b3cf833b-1b9d-495b-8367-5b6b3de7d549,745070.0,31.0,5.0,R,59.674,582,290,11,3,1,[11:301],123,145.83,224.5,1.3184,leg_lift,145.83,131.0,extension_collapse,0.955,True,True,True,True,1.0,3891,ok
bdb833e1_flaherty_R.mp4,Jack Flaherty,656427.0,Carson Kelly,608348.0,bdb833e1-af77-4b68-a98c-8252d7bba6a8,746476.0,16.0,7.0,R,59.724,542,511,511,2,0,[0:511],80,120.17,180.5,1.0101,leg_lift,120.17,137.0,extension_collapse,0.938,True,True,True,True,1.0,3961,ok
