play_id,is_lhp,bat_side_r,pitch_code,balls,strikes,outs,inning,score_diff
97120fe8-165c-4cbe-9d76-9843146a3a3d,0,1,SI,1,2,1,1,0
a08848c0-b363-4b6d-9082-26d3f5d2a0d0,0,1,FF,3,3,1,1,0
bd72e323-e8f2-4e1d-a90b-019e1a79c8a5,1,1,CH,0,2,1,1,1
abdba4b4-e061-4571-8082-0a820413127a,0,1,,2,2,2,9,0
7e5f0b6b-36b0-3ebf-a96a-08ba0f0dd176,0,1,SL,0,1,2,9,0
f41e8ae0-b016-3d43-b1c6-5aa501dffb55,0,0,CH,0,1,1,5,4
65bfecc4-2a2f-3cfb-bbc7-57ee176d61e3,0,1,FC,1,0,2,3,1
296eb979-ab52-46bd-bf97-e2ceef3b6b38,0,1,,0,1,0,8,-1
bb7e97f5-5e39-32a2-bf78-56dbdb3483dd,0,1,,0,1,1,8,-1
733d37f4-97d1-3f5a-a2a1-50ca5d2525b5,0,0,SL,3,2,2,1,0
460c3872-1f85-3022-870b-76af17fbe6e1,0,0,FF,1,1,2,4,5
6dced27c-82e0-4bd8-884c-b1b6b8f3caa0,0,0,,0,2,1,8,2
5fbcb5ba-a477-4c0e-a7e9-c68a70b8355e,0,1,SL,0,1,2,5,-2
872ed285-fc0a-4998-831e-bbf54fe0747b,0,1,SL,0,1,0,6,-2
869043fc-5871-4c45-8ae1-83c38493df23,0,1,FC,2,1,0,9,-2
8a4f4a59-e6de-45b9-b7c8-4b918baea091,0,0,CU,2,2,1,3,0
96737dbd-e36f-42ac-ad38-4a4b1edfb72f,0,1,FF,2,2,2,7,0
17316b7f-1043-4bb2-b861-21a1a7ed4ccb,1,1,SL,2,1,2,1,0
22f3e2ac-5822-47ea-a6a3-9db9a85acf67,0,1,SI,0,1,1,3,-2
752093ff-76eb-4478-9270-9d50ef25fe1c,0,0,CH,2,1,1,5,5
99befc11-15dd-4350-b031-77dc52a91aae,1,1,CU,3,0,1,3,2
a8e612b0-9e6a-4068-b1e1-b981242fe316,1,1,SI,3,0,1,7,2
ed0816d9-c50b-44d9-84e3-df62867395f1,0,0,FF,0,1,2,8,3
f48c069b-5419-4818-80a7-87acc0da1def,0,0,FC,0,2,1,8,0
3a6bf9b7-1b30-4ed0-948f-b6674c06a24f,1,1,SI,2,0,1,4,1
6ae7bb56-41b4-4eee-9a3c-ca89a0a00949,0,1,FF,3,1,2,6,3
72a52d3d-68fe-4db4-941d-40a1c991d717,1,1,SI,0,2,1,6,0
d3766295-99cd-4a29-b0e2-18f22d9f782b,1,1,FF,1,0,0,6,1
1c954513-be58-4efc-aedc-cf077beba3bf,0,1,FC,3,3,1,6,0
d1e2ecd4-c998-380d-a126-90b54b5dbbf3,0,0,FS,1,0,2,8,3
e414e54c-4cd1-3803-818b-94482f2e57f9,1,1,FS,1,0,1,6,3
812fa1d6-12fc-3a75-9593-e4654d4eb6db,0,0,SL,0,1,0,9,-1
17e7e8a8-9e21-34f4-8489-5e644a1729b3,1,0,KC,1,2,2,3,1
52d0fb0f-1990-3a71-9730-3a400c61aeea,1,0,SL,0,2,2,4,3
e51a1197-90b2-3323-9f7f-36fbe12eddd5,0,0,SI,1,1,2,5,4
05bc88a1-8e40-4aab-92b8-a28341dbabe4,0,1,SL,1,3,1,7,1
08852910-327a-4cc3-be96-a6638bf7c2a7,0,1,CU,2,1,0,3,2
2e8f2b72-c18a-4a9a-91e8-b968b83f77b9,0,1,SL,1,1,1,1,0
9cab380d-b2d7-4e71-a426-e4e615f0c9ba,0,0,SL,1,1,1,1,-2
9a253afa-da68-42f6-bce0-974d11505801,0,1,SL,1,1,1,3,-2
1cf78dca-7ca5-405e-99ea-599af12a4bf9,0,1,SL,1,0,0,6,-2
f1881675-4fcf-47b5-874d-dfe451a7ad9e,0,0,SI,1,1,1,1,0
4155fd61-d0b9-4ce8-b993-27b1fe3131f8,0,1,ST,1,0,2,5,-1
7c97a57b-4795-46f5-9efb-f43b396a6a55,1,1,FF,2,2,2,1,0
fe0c8bc8-2ecd-4eb4-bbc3-22ec1e1b2704,1,0,SL,0,2,1,3,4
5e929dfe-4ea7-4415-8161-1fb7852ec00d,1,0,SI,1,1,0,1,0
e7c2519c-ae68-4f61-a465-e3d9789ad5b6,0,1,SL,3,3,0,1,-2
510458e5-1713-4d96-904f-ca6f223d78cf,0,1,SI,0,1,0,8,2
855282f4-38bd-495c-8f6f-ad20ff3c4e97,0,0,,1,2,1,3,-1
5333db43-db64-4511-b6ef-5a4df8386eef,0,0,FF,2,0,0,7,3
9f8273c4-9a81-4ae0-839b-8d95b5c536ea,0,0,FC,0,1,2,6,2
f2832308-57b8-4eff-a3e2-462bccf41684,1,0,FC,1,0,2,4,2
f5c0a192-3084-49e4-8e53-70fc65592cf0,1,0,FF,1,0,1,1,1
1e7df8e1-17d7-4150-af85-ae1eef426254,0,1,SI,1,0,0,7,2
30c8cd35-6cf2-4055-9b0c-8f2087d9cad5,0,0,FS,1,0,1,7,2
4f5c0a13-704b-4a48-8fb7-c1149e979ee8,1,0,FF,1,1,2,7,1
43e1665c-5fdc-4de4-b96b-aea37d150de4,0,0,FF,1,0,2,4,5
80aa3d75-bb13-4a54-b23f-1b5b34c57dc5,0,0,FF,1,1,1,5,5
dadda245-e46d-463c-a166-013af449e3e8,1,1,CH,1,0,0,3,1
500bc5d9-24be-4062-a037-57a840c211cb,0,0,SL,1,1,2,8,4
78658568-0376-4c44-81d9-9e795c486fe6,1,1,KC,1,2,0,1,1
25d8e5bc-af5a-4503-95ae-1b6d0b5878e3,0,1,SI,0,1,1,4,1
4ff3d50f-20b6-4121-99ab-696f05a75ccf,0,0,FF,1,0,1,4,0
6296ef6e-6208-4855-aadd-709819222ee8,0,1,SI,2,0,1,1,1
7af86069-30b1-45a8-85cb-a5bd33e53e18,0,1,SL,3,2,2,3,-1
5bc3cd5a-1f3e-46f9-9124-64f45baaaf86,0,1,SL,1,0,2,7,1
e4653c8f-3795-4974-b3bf-d9a005847356,1,1,CH,2,0,2,1,0
770729fa-020d-49ea-8025-f840cfdbc333,0,0,FC,2,2,1,3,2
adf1d76f-68d4-4905-a251-382f287c6b98,0,0,FF,2,0,0,1,-3
c1027b32-6488-4626-9c7f-fd69a835bcd5,0,0,CU,3,0,0,1,-3
92db53f7-11e2-4808-a3a2-30a7bd866a92,0,1,,1,0,0,4,0
c8642132-6b43-4f90-b07c-ad2eab28dedc,0,1,KC,2,2,2,3,0
a8212da7-8283-45ae-b91d-8fde35d8b2aa,0,0,ST,1,1,1,3,1
f1962417-1065-4459-bf05-71133c37a7ea,1,1,FC,1,2,1,1,0
ceaf5757-ceaf-4825-b681-329ef646c846,0,0,SI,0,1,2,3,-1
7e5c61ed-2d01-3dd2-8f00-a6c91558c193,0,1,CH,3,3,0,1,0
f75bd212-20cc-3afe-ac31-f08230fb5f76,0,0,CH,1,1,1,1,0
4f606252-f782-37ab-8580-b9dd4c116f97,0,1,,1,2,1,1,0
170f826d-286c-3f3e-9d93-da8abdc805db,0,1,FS,2,2,2,1,0
1066a177-9f0c-320a-86b0-bccfaaf8013b,0,1,SL,1,0,1,3,2
dab52564-3ba8-372d-9278-3d0b412277ec,0,1,FC,1,0,2,7,0
e695f15e-6f68-33c9-8200-f97d892bfbcd,1,1,CH,0,2,1,10,0
20428813-c0fc-3b92-8347-e9979e3b2403,0,1,FF,1,2,2,5,-6
263c2f15-d96c-3cae-81d1-ee26d86d0dc6,0,1,FF,2,2,2,5,-3
8a1c6e81-309c-3f1e-bfdc-f4e287c28791,0,1,,1,1,1,1,0
78cdd3b0-98d6-3eff-9d9b-53ad90cfa0d1,0,1,FC,2,2,2,2,0
3d013cf8-cdd7-367b-a91d-e9230c6477f4,0,0,,0,2,0,1,0
70dca1ad-a224-4632-b07a-0cd787369916,0,1,SL,1,2,2,2,1
fa74cd52-996c-4586-beda-4ad7e18baca8,0,1,ST,0,1,2,8,5
f3503f77-dcae-4055-84bb-3c292eede07c,0,1,FC,1,0,1,8,0
d945e7f7-0b98-4fdc-9250-f1a3c125a8ed,0,1,SL,1,1,1,3,2
1c3cc350-7ce3-4bfb-bf7e-458f19540a19,1,1,SL,1,1,1,9,1
623605d5-a41e-462a-a5da-2753eb4b261b,0,1,CH,2,1,0,3,4
d5c1c0ad-9962-4e2e-a247-83bcde6b55d9,0,0,FC,1,0,2,3,4
cad7b33f-21fe-4676-a7bf-4171b60c6785,0,1,SI,1,0,1,4,1
bfe28942-7689-4b3b-8c0d-81b2e5b1fb55,1,1,CH,2,1,1,4,-1
5d9b5a9d-20e0-484f-b984-df6244da3e47,0,0,FC,2,1,1,1,1
4f2c50bb-b50c-4afc-b362-b8354d1149cd,1,1,CU,1,2,1,1,-3
36909f6f-b645-4795-a820-ca6b857c550d,0,0,FF,2,2,0,6,-1
72ef0825-5e05-46c6-93ab-6048f6ff66d6,0,0,FF,0,1,1,5,2
6c63e9b8-410d-45ac-add6-d5d8e359b093,0,0,SI,1,1,1,3,-4
41daf30b-5bd7-455a-b5fe-0c754fa9b59e,0,0,SI,1,2,0,8,-1
59913f57-71b6-4ff5-a98e-349d601e26e5,0,0,SL,2,1,0,3,-5
2144dab6-d44d-4a99-bd19-45af619ba4b9,1,0,FF,0,1,2,2,0
8dc0eeb7-fcca-407f-9dbd-b92994789f46,0,0,,0,0,1,4,0
1f8c12d6-6707-40ff-8704-a3a8547a5f77,0,0,SI,2,1,0,8,-2
bba2005d-8a58-4619-ad74-25f678ea434c,0,0,SI,1,0,2,3,3
791d1134-3f59-4864-9159-81561fbdec40,1,0,SI,0,1,2,2,0
98e90194-0622-418e-9cb4-cf572fddc4aa,0,0,FC,2,0,1,4,-1
bbbd7f02-c527-4041-8d86-d8219c4cb939,0,1,CU,1,1,2,7,-1
69eee3eb-80d8-4d03-8bea-0c4c2405e135,0,0,SL,3,3,0,7,0
