catcher_id,season,catcher_name,pop_2b_sba,pop_3b_sba,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count
641680,2024,"Heim, Jonah",1.98,1.54,83.5,0.69,70.0
668939,2024,"Rutschman, Adley",1.96,1.51,84.5,0.69,55.0
672386,2024,"Kirk, Alejandro",2.0,1.53,79.8,0.64,55.0
624512,2024,"McGuire, Reese",1.98,2.11,78.0,0.6,16.0
691011,2024,"Romo, Drew",1.94,1.45,83.1,0.65,11.0
543228,2024,"Gomes, Yan",1.98,1.64,75.2,0.55,12.0
605170,2024,"Caratini, Victor",2.02,1.61,80.4,0.66,35.0
669134,2024,"Campusano, Luis",1.97,1.55,82.4,0.68,25.0
571466,2024,"Barnhart, Tucker",2.0,,76.7,0.6,8.0
571912,2024,"Maile, Luke",1.97,1.67,82.7,0.65,27.0
696100,2024,"Goodman, Hunter",1.97,,81.2,0.69,12.0
666310,2024,"Naylor, Bo",1.97,1.49,82.0,0.64,38.0
553882,2024,"Narváez, Omar",2.04,1.57,78.2,0.64,18.0
663886,2024,"Stephenson, Tyler",2.02,1.55,82.1,0.7,64.0
543309,2024,"Higashioka, Kyle",2.02,1.46,76.4,0.61,44.0
668800,2024,"Knizner, Andrew",2.03,,79.8,0.69,17.0
518735,2024,"Grandal, Yasmani",2.09,1.59,77.8,0.71,31.0
641598,2024,"Garver, Mitch",2.02,,79.3,0.67,16.0
521692,2024,"Perez, Salvador",2.01,1.54,80.1,0.63,24.0
671056,2024,"Herrera, Iván",1.99,1.68,81.0,0.67,28.0
668832,2024,"McCann, Kyle",2.0,1.58,79.6,0.69,18.0
660688,2024,"Ruiz, Keibert",2.06,1.59,78.9,0.68,57.0
624431,2024,"Trevino, Jose",2.07,1.64,76.5,0.65,44.0
665804,2024,"Amaya, Miguel",2.04,1.57,80.5,0.7,50.0
605131,2024,"Barnes, Austin",2.0,1.49,75.9,0.58,27.0
680728,2024,"Del Castillo, Adrian",2.04,1.6,76.9,0.69,13.0
681807,2024,"Fry, David",1.99,,82.5,0.68,6.0
666165,2024,"Sabol, Blake",1.99,,82.8,0.73,5.0
650907,2024,"Pinto, René",1.94,1.56,83.0,0.62,8.0
645444,2024,"Herrera, Jose",1.93,,81.5,0.64,10.0
596142,2025,"Sánchez, Gary",1.91,1.46,86.8,0.63,9.0
592663,2025,"Realmuto, J.T.",1.86,1.42,85.2,0.6,50.0
686452,2025,"Millas, Drew",1.89,1.6,86.3,0.77,6.0
672275,2025,"Bailey, Patrick",1.86,1.39,84.6,0.6,44.0
620443,2025,"Torrens, Luis",1.87,1.38,83.8,0.6,29.0
666023,2025,"Fermin, Freddy",1.9,1.52,84.0,0.63,35.0
672515,2025,"Moreno, Gabriel",1.92,,82.8,0.64,26.0
673237,2025,"Diaz, Yainer",1.95,1.54,87.1,0.71,72.0
669127,2025,"Langeliers, Shea",1.89,1.4,86.1,0.65,67.0
665561,2025,"Marchán, Rafael",1.88,1.5,87.0,0.63,24.0
682626,2025,"Alvarez, Francisco",1.93,1.52,85.3,0.66,35.0
623168,2025,"Heineman, Tyler",1.92,1.43,78.2,0.55,38.0
668670,2025,"Rogers, Jake",1.95,1.65,79.6,0.61,20.0
680779,2025,"Davis, Henry",1.89,1.44,87.0,0.65,25.0
663743,2025,"Fortes, Nick",1.93,1.44,82.5,0.62,48.0
663584,2025,"Senger, Hayden",1.89,,87.4,0.63,10.0
665966,2025,"Narváez, Carlos",1.92,1.45,79.6,0.57,63.0
694212,2025,"Basallo, Samuel",1.93,1.47,87.5,0.71,8.0
606992,2025,"Haase, Eric",1.88,1.56,83.2,0.63,8.0
665861,2025,"Rivero, Sebastián",1.93,1.46,82.0,0.65,6.0
669221,2025,"Murphy, Sean",1.92,,84.8,0.68,47.0
624512,2025,"McGuire, Reese",1.93,,78.9,0.66,19.0
681508,2025,"Gasper, Mickey",1.98,1.57,80.4,0.65,14.0
686948,2025,"Baldwin, Drake",1.95,1.47,80.6,0.62,63.0
656577,2025,"Jackson, Alex",1.9,1.43,86.1,0.66,18.0
691019,2025,"Teel, Kyle",1.96,1.69,84.9,0.69,31.0
669257,2025,"Smith, Will",1.94,1.5,83.1,0.62,53.0
696100,2025,"Goodman, Hunter",1.95,1.49,83.0,0.66,45.0
521692,2025,"Perez, Salvador",1.93,1.73,78.6,0.63,17.0
669087,2025,"Huff, Sam",1.98,1.47,82.9,0.66,11.0
687221,2025,"Rushing, Dalton",1.93,1.53,82.8,0.63,15.0
672386,2025,"Kirk, Alejandro",1.95,,81.7,0.64,65.0
693307,2025,"Dingler, Dillon",1.94,1.53,89.0,0.71,60.0
641555,2025,"Escarra, J.C.",1.92,,81.5,0.65,8.0
553869,2025,"Díaz, Elias",1.91,1.42,82.7,0.62,25.0
543877,2025,"Vázquez, Christian",1.94,1.44,80.4,0.59,39.0
680862,2025,"MacIver, Willie",2.0,1.57,81.8,0.69,9.0
656180,2025,"Adams, Riley",1.93,2.1,86.7,0.73,35.0
700337,2025,"Quero, Edgar",1.95,1.58,82.5,0.65,46.0
669224,2025,"Wells, Austin",1.97,1.56,81.0,0.63,42.0
686780,2025,"Pagés, Pedro",1.93,1.66,83.8,0.67,52.0
666310,2025,"Naylor, Bo",1.96,,82.5,0.65,59.0
595978,2025,"Hedges, Austin",1.94,1.5,82.9,0.64,21.0
455117,2025,"Maldonado, Martín",1.98,1.56,85.3,0.71,31.0
681351,2025,"O'Hoppe, Logan",2.0,1.57,84.0,0.73,50.0
657136,2025,"Wong, Connor",1.97,1.57,84.0,0.69,32.0
608348,2025,"Kelly, Carson",1.95,1.48,81.6,0.65,39.0
661388,2025,"Contreras, William",1.96,1.45,83.5,0.65,46.0
