season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,post_rel_dist_avg
2019,1,607208,Trea Turner,30.3,1.72,11.411938596,3.574809942,2.7498538015384613,60.16027125,2.0575,35,5,0.864303475610896,0.04079528245407271,60.16027125
2019,2,641658,Garrett Hampson,30.1,1.71,,,,59.269909999999996,2.0300000000000002,15,3,0.8214633218474054,0.005782316391536257,59.269909999999996
2019,3,621439,Byron Buxton,30.3,1.71,13.112712821,2.669117949,2.053167653076923,58.782,2.0,14,3,0.8133480182950148,-0.010160174861808535,58.782
2019,4,605480,Mallex Smith,29.4,1.68,,,,58.42478249999999,2.0175,46,9,0.8315609400415054,0.03949862054572395,58.42478249999999
2019,5,542932,Jon Berti,29.8,1.7,,,,57.819449999999996,1.99,17,3,0.8357462560996131,0.03090687243487633,57.819449999999996
2019,6,656185,Greg Allen,29.0,1.71,,,,57.66649999999999,2.05,8,2,0.7929104268326884,0.01170696401722815,57.66649999999999
2019,7,656185,Greg Allen,29.0,1.74,,,,57.66649999999999,2.05,8,2,0.7929104268326884,0.01170696401722815,57.66649999999999
2019,8,621006,Richie Martin Jr.,29.5,1.72,,,,57.50435,2.02,10,1,0.8683535251556453,0.0732767715696856,57.50435
2019,9,502481,Jarrod Dyson,28.4,1.64,,,,56.8,2.0,30,4,0.8690681128843672,0.1005562960481986,56.8
2019,10,622682,Victor Reyes,28.9,1.79,,,,56.613654999999994,2.03,9,3,0.7584503766170779,-0.020338091948400527,56.613654999999994
2019,11,622682,Victor Reyes,28.9,1.72,,,,56.613654999999994,2.03,9,3,0.7584503766170779,-0.020338091948400527,56.613654999999994
2019,12,660670,Ronald Acuña Jr.,29.3,1.7,12.019437956,3.908908759,3.0068528915384616,56.468424999999996,1.9766666666666666,37,9,0.8018364000488298,0.01266862667518831,56.468424999999996
2019,13,596115,Trevor Story,29.2,1.7,12.970051546,4.217072165,3.2439016653846156,56.0859,1.97,23,8,0.7470460111802868,-0.03934710403925501,56.0859
2019,14,595281,Kevin Kiermaier,29.4,1.74,,,,56.013615,1.995,19,5,0.7894364276720802,-0.0026258918237012097,56.013615
2019,15,516782,Starling Marte,29.0,1.75,12.167531646,2.556632911,1.9666407007692306,55.9265,2.03,25,6,0.8026015667358424,0.021398103920382106,55.9265
2021,1,642180,Tyler Wade,29.1,1.7,,,,58.3054875,2.0549999999999997,17,6,0.7462020143746545,-0.037536330658826,58.3054875
