season,rank,runner_id,player_name,sprint_speed,SB_used,CS_used,real_sb_pct,sb_residual,r_primary_lead,r_secondary_lead,r_sec_minus_prim_lead,accel_0_30
2016,15,606466,Ketel Marte,28.4,11,5,0.7032049029941054,-0.059672832085867045,9.871389474,13.264326316,3.392936842,1.74
2017,1,605141,Mookie Betts,27.9,26,3,0.8755089106728299,0.12018833606885371,12.429531646,18.071772152,5.642240506,1.75
2017,2,624428,Adam Frazier,27.5,9,5,0.6719633138355903,-0.0794859208175307,12.576537879,17.786772727,5.210234848,1.76
2017,3,608070,José Ramírez,27.9,17,5,0.7691593689954154,0.013838794391439202,12.295364583,17.327204861,5.031840278,1.76
2017,4,608070,José Ramírez,27.9,17,5,0.7691593689954154,0.013838794391439202,12.295364583,17.327204861,5.031840278,1.72
2017,5,595879,Javier Báez,28.5,10,3,0.7648501646042342,9.859935740574866e-05,10.957180952,15.654114286,4.696933333,1.77
2017,6,592663,J.T. Realmuto,28.6,8,2,0.7844868641917476,0.017740669420843846,12.115241176,16.758,4.642758824,1.76
2017,7,664023,Ian Happ,28.8,8,4,0.692194291933895,-0.07890355995681508,10.538212454,14.943205128,4.404992674,1.75
2017,8,664023,Ian Happ,28.8,8,4,0.692194291933895,-0.07890355995681508,10.538212454,14.943205128,4.404992674,1.76
2017,9,593428,Xander Bogaerts,28.3,15,1,0.893681093470296,0.13255638919996093,12.125084821,16.472763393,4.347678571,1.78
2017,10,518692,Freddie Freeman,26.6,8,5,0.6537390534931231,-0.09606642866788162,12.235060811,16.566962838,4.331902027,1.81
2017,11,593871,Jorge Polanco,28.4,13,5,0.7290131722989659,-0.03386456278100658,12.317263158,16.305280702,3.988017544,1.77
2017,12,593871,Jorge Polanco,28.4,13,5,0.7290131722989659,-0.03386456278100658,12.317263158,16.305280702,3.988017544,1.79
2017,13,592450,Aaron Judge,28.0,9,4,0.7092946090486786,-0.047295798936059064,10.921927928,14.746463964,3.824536036,1.79
2017,14,543760,Marcus Semien,28.4,12,1,0.8759612757153453,0.11308354063537285,12.177804233,15.796666667,3.618862434,1.74
2017,15,607208,Trea Turner,30.3,46,8,0.8435136095402749,0.02437641120559686,11.411938596,14.986748538,3.574809942,1.71
2018,1,605141,Mookie Betts,28.1,30,6,0.8235927551921028,0.06561171446938519,12.429531646,18.071772152,5.642240506,1.75
2018,2,608070,José Ramírez,27.4,34,6,0.839273399175027,0.08849000111657213,12.295364583,17.327204861,5.031840278,1.74
2018,3,608070,José Ramírez,27.4,34,6,0.839273399175027,0.08849000111657213,12.295364583,17.327204861,5.031840278,1.76
2018,4,547180,Bryce Harper,27.5,13,3,0.7984429982322008,0.046993763579079806,11.668186722,16.584941909,4.916755187,1.78
2018,5,595879,Javier Báez,28.8,21,9,0.707637227510749,-0.06346062437996114,10.957180952,15.654114286,4.696933333,1.76
2018,6,643396,Isiah Kiner-Falefa,28.0,7,5,0.6333707625221303,-0.12321964546260733,12.344880734,16.880568807,4.535688073,1.77
2018,7,664023,Ian Happ,27.6,8,4,0.692194291933895,-0.060041578671111484,10.538212454,14.943205128,4.404992674,1.78
2018,8,664023,Ian Happ,27.6,8,4,0.692194291933895,-0.060041578671111484,10.538212454,14.943205128,4.404992674,1.8
2018,9,593428,Xander Bogaerts,27.8,8,2,0.7844868641917476,0.030315323611313505,12.125084821,16.472763393,4.347678571,1.79
2018,10,518692,Freddie Freeman,26.7,10,3,0.7648501646042342,0.015345240706315155,12.235060811,16.566962838,4.331902027,1.8
2018,11,641343,Jake Bauers,27.8,6,6,0.5745472331103656,-0.17962430747006852,11.678393258,15.903865169,4.22547191,1.78
2018,12,606192,Teoscar Hernández,28.6,5,5,0.5844868641917477,-0.1822593305791561,12.779433198,17.003935223,4.224502024,1.79
2018,13,596115,Trevor Story,29.6,27,6,0.809665867444111,0.016329412785414443,12.970051546,17.187123711,4.217072165,1.71
2018,14,660162,Yoán Moncada,28.8,12,6,0.6855349114294007,-0.08556294046130941,12.317113333,16.324573333,4.00746,1.74
2018,15,660162,Yoán Moncada,28.8,12,6,0.6855349114294007,-0.08556294046130941,12.317113333,16.324573333,4.00746,1.72
2019,1,605141,Mookie Betts,27.9,16,3,0.8236376234531756,0.06831704884919942,12.429531646,18.071772152,5.642240506,1.75
2019,2,624428,Adam Frazier,27.2,5,5,0.5844868641917477,-0.16532725874903054,12.576537879,17.786772727,5.210234848,1.77
2019,3,608070,José Ramírez,27.9,24,4,0.841433423117461,0.08611284851348489,12.295364583,17.327204861,5.031840278,1.75
2019,4,608070,José Ramírez,27.9,24,4,0.841433423117461,0.08611284851348489,12.295364583,17.327204861,5.031840278,1.76
2019,5,547180,Bryce Harper,28.3,15,3,0.8159696940380963,0.0548449897677612,11.668186722,16.584941909,4.916755187,1.76
2019,6,595879,Javier Báez,28.6,11,7,0.6420566505598354,-0.12468954421106837,10.957180952,15.654114286,4.696933333,1.75
2019,7,592663,J.T. Realmuto,28.7,9,1,0.8511535308584144,0.08229190720621671,12.115241176,16.758,4.642758824,1.76
2019,8,665487,Fernando Tatis Jr.,29.3,16,6,0.7321223319583784,-0.05196865148318086,11.307440154,15.837555985,4.53011583,1.75
2019,9,500743,Miguel Rojas,26.3,9,5,0.6719633138355903,-0.07946863925798375,12.167167785,16.537181208,4.370013423,1.84
2019,10,542303,Marcell Ozuna,27.4,12,2,0.8298580506776956,0.07907465261924074,10.24402027,14.518533784,4.274513514,1.86
2019,11,596115,Trevor Story,29.2,23,8,0.7435361934132282,-0.03771456500372328,12.970051546,17.187123711,4.217072165,1.7
2019,12,660162,Yoán Moncada,27.8,10,3,0.7648501646042342,0.010678624023800043,12.317113333,16.324573333,4.00746,1.73
2019,13,660162,Yoán Moncada,27.8,10,3,0.7648501646042342,0.010678624023800043,12.317113333,16.324573333,4.00746,1.73
2019,14,660670,Ronald Acuña Jr.,29.3,37,9,0.7993588816250238,0.015267898183464523,12.019437956,15.928346715,3.908908759,1.7
2019,15,621020,Dansby Swanson,28.7,10,5,0.6883651481438108,-0.0804964755083869,12.11732973,15.887378378,3.770048649,1.77
2020,1,605141,Mookie Betts,28.3,10,2,0.8098413507574245,0.0487166464870894,12.429531646,18.071772152,5.642240506,1.78
2020,2,608070,José Ramírez,27.2,10,3,0.7648501646042342,0.015036041663455957,12.295364583,17.327204861,5.031840278,1.78
2020,3,547180,Bryce Harper,27.8,8,2,0.7844868641917476,0.030315323611313505,11.668186722,16.584941909,4.916755187,1.83
2020,4,643396,Isiah Kiner-Falefa,28.1,8,5,0.6537390534931231,-0.10424198722959455,12.344880734,16.880568807,4.535688073,1.81
2020,5,665487,Fernando Tatis Jr.,29.3,11,3,0.7772264717303271,-0.006864511711232146,11.307440154,15.837555985,4.53011583,1.79
2020,6,596115,Trevor Story,28.9,15,3,0.8159696940380963,0.04251481455165429,12.970051546,17.187123711,4.217072165,1.79
2020,7,663757,Trent Grisham,29.1,10,1,0.8604564351797634,0.08192510243020035,10.18492145,14.383410876,4.198489426,1.74
2020,8,673357,Luis Robert Jr.,29.1,9,2,0.7979564351797634,0.019425102430200347,10.790703125,14.695296875,3.90459375,1.77
