runner_id,season,player_name,sprint_speed,bolts,accel_0_30,accel_5_30,maintain_30_90,total_90,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090,SB,CS,Name,r_primary_lead,r_secondary_lead,r_sec_minus_prim_lead,real_sb_attempts,era,speed_capped,real_sb_pct,expected_sb_pct,sb_residual,pct_speed,pct_accel,accel_gap,n_attempts,n_success,pct_in_HL,avg_pop_faced,avg_pitcher_prevent,pre_rel_vel_avg,post_rel_dist_avg,curve_a,curve_b,curve_c,curve_rmse,y,sb_residual_z,accel_gap_z,lead_gain_z,primary_lead_z,jump_z,speed_cap_z,pre_rel_vel_z,post_rel_dist_z,SSSI_v5,rank_v5
671056,2025,Iván Herrera,26.3,0.0,1.84,1.28,2.3100000000000005,4.15,0.0,0.56,0.88,1.15,1.4,1.63,1.84,2.05,2.25,2.45,2.64,2.83,3.02,3.21,3.39,3.58,3.76,3.95,4.15,8,2,Iván Herrera,11.433879656,14.164756447,2.730876791,10,post_2023,26.3,0.7929104268326884,0.7580792948478896,0.03483113198479881,21.85792349726776,25.136612021857925,3.278688524590166,2.0,2.0,1.0,1.975,,2.1006744546153846,47.0079625,-0.00010165118679050511,0.0503586171310629,0.3912745098039222,0.03173552703491663,1,0.2777338856951254,0.24660791008045552,-1.3167496812085122,-0.5443350784241139,-1.6871465367322451,-2.7794442836602014,-1.3167496806860877,-1.8658026888942578,0.7808828311899645,21
500743,2019,Miguel Rojas,26.3,0.0,1.84,1.29,2.33,4.17,0.0,0.55,0.86,1.13,1.39,1.62,1.84,2.06,2.26,2.46,2.65,2.85,3.03,3.22,3.41,3.59,3.78,3.97,4.17,9,5,Miguel Rojas,12.167167785,16.537181208,4.370013423,14,pre_2023,26.3,0.6786134948679119,0.7580792948478896,-0.07946579997997771,27.82846715328467,22.9014598540146,-4.92700729927007,1.0,1.0,1.0,1.92,,3.3615487869230765,45.698879999999996,-0.00010724974200206324,0.05134868421052624,0.3662009803921573,0.03034446820052484,0,-1.118100370889605,-0.1587408542217997,0.8510288491717698,0.3312869263104291,-1.6871465367322451,-2.7794442836602014,0.8510288488341202,-2.3237581374618554,0.7732019940721199,22
670770,2025,TJ Friedl,26.7,0.0,1.75,1.21,2.26,4.01,0.0,0.54,0.83,1.09,1.32,1.54,1.75,1.95,2.14,2.34,2.52,2.7,2.89,3.07,3.25,3.43,3.61,3.81,4.01,12,3,TJ Friedl,11.792067265,15.67229148,3.880224215,15,post_2023,26.7,0.7946828201245163,0.7559902509799281,0.038692569144588185,29.690346083788704,82.60473588342441,52.91438979963571,2.0,2.0,0.5,1.9649999999999999,-0.1053495509123293,2.9847878576923077,49.842225,-8.268833849329166e-05,0.04724651702786373,0.37522058823529464,0.029722141848924778,1,0.3248911118308566,2.698535279678049,0.20327654543681095,-0.11662196012862804,0.46545151655273237,-2.002008776670365,0.2032765453561596,-0.8742945489979419,0.7723512374335068,23
650333,2024,Luis Arraez,26.7,0.0,1.77,1.24,2.27,4.04,0.0,0.53,0.84,1.1,1.34,1.56,1.77,1.97,2.17,2.36,2.55,2.74,2.92,3.1,3.28,3.46,3.65,3.84,4.04,9,3,Luis Arraez,11.507441088,16.604975831,5.097534743,12,post_2023,26.7,0.7584503766170779,0.7559902509799281,0.0024601256371498126,30.206378986866795,71.76360225140714,41.55722326454034,2.0,2.0,1.0,1.915,0.0350146721226909,3.921180571538461,48.06267,-9.099587203302319e-05,0.048392801857585085,0.36899509803921665,0.03155186448540633,0,-0.11759220752052617,2.137508704992011,1.8131848202488188,-0.45649510664273,-0.012903606399484855,-2.002008776670365,1.8131848195294304,-1.4968350751112394,0.7635533331789619,24
661388,2025,William Contreras,26.2,1.0,1.84,1.28,2.25,4.09,0.0,0.56,0.88,1.15,1.4,1.62,1.84,2.04,2.24,2.43,2.62,2.81,2.99,3.17,3.36,3.54,3.71,3.9,4.09,6,4,William Contreras,10.259566038,15.303238994,5.043672956,10,post_2023,26.2,0.659577093499355,0.7589012757349796,-0.09932418223562456,20.036429872495447,25.136612021857925,5.100182149362478,2.0,0.0,1.0,1.93,0.14322165511758986,3.8797484276923075,45.76222999999999,-0.00010784313725490158,0.05023477812177497,0.39362745098039226,0.03240007616061798,0,-1.3606179061925519,0.3365868961207341,1.7419519387506794,-1.9465872133147821,-1.6871465367322451,-2.9738031604076642,1.741951938059553,-2.30159644966391,0.7626767385808757,25
663656,2023,Kyle Tucker,26.6,0.0,1.77,1.23,2.2600000000000002,4.03,0.0,0.54,0.84,1.1,1.34,1.56,1.77,1.97,2.16,2.35,2.54,2.72,2.9,3.08,3.26,3.44,3.63,3.82,4.03,30,5,Kyle Tucker,10.725296029,13.730761733,3.005465704,35,post_2023,26.6,0.847341410062258,0.7563326799948591,0.09100873006739896,30.0,73.24324324324324,43.24324324324324,2.0,2.0,0.5,2.045,-0.1150704243315457,2.3118966953846156,51.133179999999996,-8.653250773993751e-05,0.047644736842105184,0.3820098039215692,0.03371594142067457,1,0.9637944343764093,2.2207955010939204,-0.9536024373112387,-1.390457348045382,-0.012903606399484855,-2.1963676534178207,-0.9536024369328938,-0.4226806315362232,0.7491265252498521,26
663656,2022,Kyle Tucker,26.7,0.0,1.76,1.22,2.24,4.0,0.0,0.54,0.84,1.1,1.34,1.55,1.76,1.96,2.16,2.34,2.53,2.71,2.89,3.07,3.25,3.42,3.61,3.79,4.0,25,4,Kyle Tucker,10.725296029,13.730761733,3.005465704,29,pre_2023,26.7,0.8498134236026567,0.7559902509799281,0.09382317262272855,32.31707317073171,84.14634146341463,51.82926829268292,1.0,1.0,0.0,1.99,,2.3118966953846156,50.21068499999999,-9.037667698658358e-05,0.04770652734778117,0.37977941176470703,0.03184055285481419,1,0.9981653948596668,2.644931944701614,-0.9536024373112387,-1.390457348045382,0.22627395507662376,-2.002008776670365,-0.9536024369328938,-0.7453964355641339,0.7154627804543259,27
624428,2025,Adam Frazier,26.6,0.0,1.78,1.24,2.3,4.08,0.0,0.54,0.84,1.11,1.35,1.57,1.78,1.99,2.19,2.38,2.57,2.76,2.95,3.13,3.31,3.5,3.69,3.88,4.08,8,6,Adam Frazier,12.576537879,17.786772727,5.210234848,14,post_2023,26.6,0.6259819159205434,0.7563326799948591,-0.13035076407431567,27.049180327868854,62.295081967213115,35.24590163934426,1.0,0.0,1.0,1.93,,4.007872959999999,48.00103,-8.931888544891566e-05,0.048687564499483936,0.37230392156862896,0.03052088598218418,0,-1.7395254153505508,1.8257391150873457,1.962232107229715,0.8201172349034217,-0.2520811678755935,-2.1963676534178207,1.9622321064511912,-1.5183985547618384,0.7153621773513152,28
502671,2023,Paul Goldschmidt,26.4,0.0,1.84,1.29,2.26,4.1,0.0,0.55,0.88,1.15,1.39,1.62,1.84,2.04,2.24,2.44,2.63,2.82,3.0,3.19,3.37,3.55,3.73,3.91,4.1,11,2,Paul Goldschmidt,10.218108108,13.048711712,2.830603604,13,post_2023,26.4,0.827425355693907,0.7573772019288398,0.07004815376506712,24.684684684684687,30.45045045045045,5.765765765765764,2.0,2.0,0.5,1.975,0.506161557545171,2.177387387692308,47.186699999999995,-0.00011073271413828666,0.05077347781217746,0.38205882352941245,0.03100447349089566,1,0.7078165184550151,0.3694657039927493,-1.1848597338397748,-1.9960922773450032,-1.6871465367322451,-2.585085406912746,-1.1848597333696775,-1.8032750697500486,0.7057329585597238,29
671277,2025,Luis García Jr.,26.5,0.0,1.8,1.25,2.2700000000000005,4.07,0.0,0.55,0.86,1.13,1.37,1.59,1.8,2.0,2.2,2.39,2.58,2.77,2.95,3.13,3.32,3.5,3.68,3.87,4.07,14,5,Luis García Jr.,11.106055901,14.820590062,3.714534161,19,post_2023,26.5,0.7455690167704302,0.7567949969778294,-0.011225980207399178,24.772313296903462,48.90710382513661,24.134790528233147,2.0,1.0,1.0,1.95,-0.23873194066875006,2.85733397,47.799375,-9.401444788441666e-05,0.04878689370485033,0.3891176470588236,0.0321686802352034,0,-0.2847317365408958,1.2768673002416457,-0.015850606471505352,-0.935790608931831,-0.7304362908278107,-2.390726530165283,-0.015850606465217035,-1.5889433874831527,0.7050060896374108,30
518692,2018,Freddie Freeman,26.7,0.0,1.8,1.27,2.29,4.09,0.0,0.53,0.83,1.1,1.35,1.58,1.8,2.01,2.22,2.41,2.6,2.79,2.98,3.16,3.34,3.52,3.7,3.89,4.09,10,3,Freddie Freeman,12.235060811,16.566962838,4.331902027,13,pre_2023,26.7,0.7718698001383514,0.7559902509799281,0.015879549158423267,36.210131332082554,45.684803001876176,9.474671669793622,2.0,1.0,1.0,2.04,,3.3322323284615383,50.38289999999999,-0.00010884932920536631,0.050836042311661465,0.34301470588235283,0.028738690112254463,0,0.04629050335035616,0.5526799563099625,0.800626055165016,0.41235823400319904,-0.7304362908278107,-2.002008776670365,0.8006260548473639,-0.6851505781983306,0.693514895610054,31
650859,2024,Luis Rengifo,26.9,0.0,1.79,1.24,2.24,4.03,0.0,0.55,0.85,1.12,1.36,1.58,1.79,1.99,2.19,2.38,2.57,2.75,2.94,3.12,3.29,3.47,3.65,3.83,4.03,24,7,Luis Rengifo,14.328412698,17.452301587,3.123888889,31,post_2023,26.9,0.7748237889580646,0.755665056854185,0.01915873210387964,35.92870544090056,60.0375234521576,24.108818011257043,4.0,2.0,0.0,1.93,-0.14785857714786968,2.4029914530769227,48.28280999999999,-0.00010090299277605725,0.049065660474716145,0.37938725490196157,0.029810261221934045,0,0.08633703662289403,1.275584297814055,-0.7969863060317984,2.9120372870508144,-0.49125872935170206,-1.6132910231754465,-0.796986305715592,-1.4198236473000296,0.6621527745565768,32
518692,2022,Freddie Freeman,26.9,0.0,1.8,1.25,2.2700000000000005,4.07,0.0,0.55,0.86,1.13,1.37,1.59,1.8,2.01,2.2,2.4,2.58,2.77,2.95,3.13,3.31,3.49,3.67,3.86,4.07,13,3,Freddie Freeman,12.235060811,16.566962838,4.331902027,16,pre_2023,26.9,0.8044598286900155,0.755665056854185,0.048794771835830586,36.7595818815331,60.540069686411144,23.780487804878042,2.0,1.0,0.5,1.9949999999999999,0.19629293377633905,3.3322323284615383,49.64058749999999,-9.744582043343621e-05,0.049001418988648064,0.3878676470588243,0.03338700743994893,1,0.4482627574297444,1.2593652901521035,0.800626055165016,0.41235823400319904,-0.7304362908278107,-1.6132910231754465,0.8006260548473639,-0.9448332597060554,0.6524310616616242,33
