season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,r_sec_minus_prim_lead
2024,7,608070,José Ramírez,28.2,1.74,12.295364583,5.031840278,,,,41,7,0.8470501208017042,0.08180974888098203,5.031840278
2024,8,608070,José Ramírez,28.2,1.79,12.295364583,5.031840278,,,,41,7,0.8470501208017042,0.08180974888098203,5.031840278
2024,9,547180,Bryce Harper,27.4,1.79,11.668186722,4.916755187,,,,7,4,0.6808535251556453,-0.0760965858248761,4.916755187
2024,10,681297,Colton Cowser,28.2,1.74,11.27098913,4.832184783,3.7170652176923076,53.18872499999999,1.975,9,4,0.7163142445827959,-0.04892612733792623,4.832184783
2024,11,677587,Brayan Rocchio,26.8,1.88,12.381186851,4.780276817,3.6771360130769226,47.586079999999995,1.93,10,6,0.6616026858328726,-0.09416502410016381,4.780276817
2024,12,677587,Brayan Rocchio,26.8,1.81,12.381186851,4.780276817,3.6771360130769226,47.586079999999995,1.93,10,6,0.6616026858328726,-0.09416502410016381,4.780276817
2024,13,680700,Richie Palacios,27.9,1.76,12.564669118,4.721588235,3.6319909499999996,54.312929999999994,2.06,19,1,0.915746256099613,0.15451389179176456,4.721588235
2024,14,641584,Jake Fraley,28.3,1.69,12.234175182,4.711321168,3.624093206153846,54.91332,1.9799999999999998,20,5,0.7964552134163442,0.029639063021918877,4.711321168
2024,15,666139,Josh Lowe,28.4,1.73,12.320161616,4.644191919,3.5724553223076922,52.619519999999994,1.93,25,1,0.9320534323383975,0.1635416155022289,4.644191919
2025,1,605141,Mookie Betts,26.9,1.82,12.429531646,5.642240506,,,,8,2,0.7929104268326884,0.03724536997850347,5.642240506
2025,2,665862,Jazz Chisholm Jr.,27.6,1.77,12.165130769,5.637923077,4.336863905384615,50.590799999999994,1.95,31,8,0.7930376455111436,0.03473429710380982,5.637923077
2025,3,624428,Adam Frazier,26.6,1.78,12.576537879,5.210234848,4.007872959999999,48.00103,1.93,8,6,0.6259819159205434,-0.13035076407431567,5.210234848
2025,4,650333,Luis Arraez,26.5,1.79,11.507441088,5.097534743,3.921180571538461,48.05775,1.95,11,4,0.7446828201245163,-0.012112176853313117,5.097534743
2025,5,661388,William Contreras,26.2,1.84,10.259566038,5.043672956,3.8797484276923075,45.76222999999999,1.93,6,4,0.659577093499355,-0.09932418223562456,5.043672956
2025,6,608070,José Ramírez,28.4,1.75,12.295364583,5.031840278,3.8706463676923075,51.53179999999999,1.91,44,7,0.8552438643301843,0.08673204749401564,5.031840278
2025,7,608070,José Ramírez,28.4,1.78,12.295364583,5.031840278,3.8706463676923075,51.53179999999999,1.91,44,7,0.8552438643301843,0.08673204749401564,5.031840278
2025,8,547180,Bryce Harper,27.0,1.8,11.668186722,4.916755187,3.7821193746153843,47.95199999999999,1.92,12,2,0.8365082317100171,0.08082593996664433,4.916755187
2025,9,681297,Colton Cowser,27.4,1.74,11.27098913,4.832184783,3.7170652176923076,51.94149499999999,1.9849999999999999,14,0,0.9417713896047539,0.18482127862423248,4.832184783
2025,10,677587,Brayan Rocchio,27.0,1.82,12.381186851,4.780276817,,,,8,4,0.6996268472053133,-0.05605544453805944,4.780276817
2025,11,677587,Brayan Rocchio,27.0,1.85,12.381186851,4.780276817,,,,8,4,0.6996268472053133,-0.05605544453805944,4.780276817
2025,12,666139,Josh Lowe,28.1,1.75,12.320161616,4.644191919,,,,18,4,0.8108761630551973,0.04709168164013988,4.644191919
2025,13,592663,J.T. Realmuto,28.4,1.81,12.115241176,4.642758824,3.5713529415384615,50.16575999999999,1.92,8,2,0.7929104268326884,0.02439860999651977,4.642758824
2025,14,656305,Matt Chapman,28.1,1.81,11.095823529,4.584886555,,,,9,4,0.7163142445827959,-0.04747023683226148,4.584886555
2025,15,643396,Isiah Kiner-Falefa,27.4,1.82,12.344880734,4.535688073,3.4889908253846156,50.141999999999996,2.0,15,4,0.7872356834370969,0.030285572456575482,4.535688073
2026,1,665862,Jazz Chisholm Jr.,28.4,1.73,12.165130769,5.637923077,4.336863905384615,55.07327999999999,2.02,13,3,0.8044598286900155,0.035948011853846884,5.637923077
2026,2,608070,José Ramírez,27.3,1.76,12.295364583,5.031840278,,,,20,2,0.8849502371292713,0.12849691291009668,5.031840278
2026,3,677587,Brayan Rocchio,27.3,1.85,12.381186851,4.780276817,,,,9,4,0.7163142445827959,-0.04013907963637875,4.780276817
2026,4,677587,Brayan Rocchio,27.3,1.78,12.381186851,4.780276817,,,,9,4,0.7163142445827959,-0.04013907963637875,4.780276817
2026,5,680700,Richie Palacios,27.0,1.75,12.564669118,4.721588235,3.6319909499999996,48.47849999999999,1.89,7,4,0.6808535251556453,-0.07482876658772741,4.721588235
2026,6,665487,Fernando Tatis Jr.,28.8,1.8,11.307440154,4.53011583,3.4847044846153845,53.0136,1.99,14,6,0.7157462560996131,-0.06074710618392465,4.53011583
2026,7,681082,Bryson Stott,28.5,1.79,11.961878049,4.51182439,3.4706341461538464,52.744949999999996,1.99,10,0,0.9262437601660217,0.15591638892007043,4.51182439
2026,8,683083,Nasim Nuñez,29.6,1.67,11.528732719,4.505917051,,,,22,2,0.8928847035341492,0.09467362788996914,4.505917051
2026,9,677951,Bobby Witt Jr.,30.5,1.73,13.020939024,4.500591463,3.461993433076923,57.681599999999996,1.97,16,3,0.8289023501037636,-0.002912582626171112,4.500591463
2026,10,672640,Otto Lopez,28.5,1.81,12.599485632,4.495571839,,,,10,3,0.7718698001383514,0.0015424288924000829,4.495571839
2026,11,669364,Xavier Edwards,28.1,1.76,12.329751656,4.399771523,,,,8,2,0.7929104268326884,0.029125945417631027,4.399771523
2026,12,669364,Xavier Edwards,28.1,1.73,12.329751656,4.399771523,,,,8,2,0.7929104268326884,0.029125945417631027,4.399771523
2026,13,805300,Jakob Marsee,27.9,1.74,11.938128205,4.371025641,,,,14,7,0.6882175539419356,-0.07301481036591284,4.371025641
2026,14,664983,Jake McCarthy,29.8,1.74,12.197339806,4.292359223,3.3018147869230767,56.06423,1.97,9,2,0.8058535251556453,0.0010141414909086155,4.292359223
2026,15,676609,José Caballero,28.2,1.79,13.012705882,4.275261438,,,,13,6,0.7039023501037636,-0.06133802181695858,4.275261438
