season,rank,runner_id,player_name,sprint_speed,accel_0_30,r_primary_lead,r_sec_minus_prim_lead,pre_rel_vel_avg,post_rel_dist_avg,avg_pop_faced,SB,CS,real_sb_pct,sb_residual,pre_rel_vel_avg
2019,13,543760,Marcus Semien,28.1,1.76,12.177804233,3.618862434,2.7837403338461537,53.5073175,2.015,10,8,0.6040720174995794,-0.159712463915478,2.7837403338461537
2019,14,607208,Trea Turner,30.3,1.72,11.411938596,3.574809942,2.7498538015384613,60.16027125,2.0575,35,5,0.864303475610896,0.04079528245407271,2.7498538015384613
2019,15,660271,Shohei Ohtani,28.2,1.74,11.510135065,3.437301299,2.6440779223076922,52.78476,1.96,12,3,0.7946828201245163,0.029442448203794158,2.6440779223076922
2021,1,605141,Mookie Betts,27.2,1.8,12.429531646,5.642240506,4.3401850046153845,49.92462857142856,1.9842857142857142,10,5,0.6946828201245163,-0.06139360530135174,4.3401850046153845
2021,2,665862,Jazz Chisholm Jr.,29.1,1.73,12.165130769,5.637923077,4.336863905384615,54.54504,1.9525,23,8,0.7470460111802868,-0.036692333853193704,4.336863905384615
2021,3,608070,José Ramírez,28.1,1.74,12.295364583,5.031840278,3.8706463676923075,53.04483833333333,1.9766666666666666,27,4,0.858157122291398,0.09437264087634056,3.8706463676923075
2021,4,608070,José Ramírez,28.1,1.8,12.295364583,5.031840278,3.8706463676923075,53.04483833333333,1.9766666666666666,27,4,0.858157122291398,0.09437264087634056,3.8706463676923075
2021,5,547180,Bryce Harper,27.8,1.78,11.668186722,4.916755187,3.7821193746153843,52.11596499999999,2.005,13,3,0.8044598286900155,0.04432369098371125,3.7821193746153843
2021,6,641584,Jake Fraley,27.7,1.73,12.234175182,4.711321168,3.624093206153846,52.918079999999996,1.99,10,2,0.8172739060288426,0.05811410695604413,3.624093206153846
2021,7,595879,Javier Báez,28.5,1.8,10.957180952,4.696933333,3.6130256407692305,51.80231249999999,1.9649999999999999,18,5,0.7819163000889402,0.0115889288429889,3.6130256407692305
2021,8,592663,J.T. Realmuto,28.8,1.81,12.115241176,4.642758824,3.5713529415384615,52.46208,1.98,13,3,0.8044598286900155,0.02796646640647782,3.5713529415384615
2021,9,650402,Gleyber Torres,27.0,1.83,10.310364407,4.591076271,3.5315971315384616,48.402899999999995,1.97,14,6,0.7157462560996131,-0.03993603564375969,3.5315971315384616
2021,10,643396,Isiah Kiner-Falefa,28.0,1.8,12.344880734,4.535688073,3.4889908253846156,51.34675,1.9825,20,5,0.7964552134163442,0.034006734538910455,3.4889908253846156
2021,11,665487,Fernando Tatis Jr.,29.2,1.77,11.307440154,4.53011583,3.4847044846153845,54.62152,1.99,25,4,0.8498134236026567,0.06342030838311485,3.4847044846153845
